gene,theta_glm,theta_asp,log2_ratio,underdisp,celltype,condition,chromosome
1110002L01Rik,1e-6,0.47935496338503,-17.87073785458752,TRUE,Cardiomyocyte,F1_Aged,12
1700017G19Rik,1e-6,0.368654093020667,-17.491912162574053,TRUE,Cardiomyocyte,F1_Aged,3
1700087I21Rik,1e-6,0.620589699666276,-18.243282550862126,TRUE,Cardiomyocyte,F1_Aged,14
1700123O12Rik,1e-6,1.19677392082242,-19.190720417389446,TRUE,Cardiomyocyte,F1_Aged,4
1810037I17Rik,1e-6,1.48922450503009,-19.50613079896987,TRUE,Cardiomyocyte,F1_Aged,3
2010001K21Rik,1e-6,0.612106106654282,-18.223424592581896,TRUE,Cardiomyocyte,F1_Aged,13
2610035D17Rik,1e-6,0.325483047141017,-17.31222730915015,TRUE,Cardiomyocyte,F1_Aged,11
4833420G17Rik,1e-6,0.343273292375407,-17.389002293132393,TRUE,Cardiomyocyte,F1_Aged,13
4930412C18Rik,1e-6,0.508123762242807,-17.954823246571678,TRUE,Cardiomyocyte,F1_Aged,4
4930428N03Rik,1e-6,0.696095987442252,-18.408928805731694,TRUE,Cardiomyocyte,F1_Aged,14
4930447C04Rik,1e-6,1.14078325795884,-19.12159454815286,TRUE,Cardiomyocyte,F1_Aged,12
4930458D05Rik,1e-6,0.489557677113561,-17.901122261962207,TRUE,Cardiomyocyte,F1_Aged,5
4930481A15Rik,1e-6,0.300523205791096,-17.197121672256316,TRUE,Cardiomyocyte,F1_Aged,19
4930522O17Rik,1e-6,0.487762635237815,-17.89582267779909,TRUE,Cardiomyocyte,F1_Aged,4
4930567K20Rik,1e-6,0.506211308515177,-17.94938306133606,TRUE,Cardiomyocyte,F1_Aged,10
5830417I10Rik,1e-6,0.323197611205824,-17.302061473235753,TRUE,Cardiomyocyte,F1_Aged,3
9330159M07Rik,1e-6,0.237113190839963,-16.855222482435103,TRUE,Cardiomyocyte,F1_Aged,9
9430037G07Rik,1e-6,0.482645002688897,-17.880605904885133,TRUE,Cardiomyocyte,F1_Aged,9
A730017L22Rik,1e-6,0.580390615135239,-18.146667151508268,TRUE,Cardiomyocyte,F1_Aged,2
A930002C04Rik,1e-6,1.76668363326463,-19.752613100084506,TRUE,Cardiomyocyte,F1_Aged,13
AI839979,1e-6,0.362605086915437,-17.46804361763529,TRUE,Cardiomyocyte,F1_Aged,5
Aaas,1e-6,0.679510547563248,-18.37413854267845,TRUE,Cardiomyocyte,F1_Aged,15
Acsm5,1e-6,0.33060818853143,-17.334767296055883,TRUE,Cardiomyocyte,F1_Aged,7
Actg1,1e-6,0.325709433411057,-17.313230408445442,TRUE,Cardiomyocyte,F1_Aged,11
Agbl3,1e-6,0.582766281442406,-18.152560356256142,TRUE,Cardiomyocyte,F1_Aged,6
