"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"9530026P05Rik",0.65,0.638888888886856,2.64405522194502,NA,3.70722683660565,1.125,15,1.95387728129137,1.60283776508033,1.92984220866876
"Cacna1c",0.534,0.4375,2.40109927123044,NA,3.23826488133305,1.5,25,1.6486706610278,1.71718117491997,1.65125442514676
"Cacnb2",0.491656565656566,0.496240601503761,0.805193082304185,NA,0.214845900195629,4.15625,25,2.91158764540745,1.77124197245798,2.85645817199181
"Cald1",0.402797202797203,0.434782608695652,0.328828522985659,NA,0.425200883347617,2.15625,22,1.51272821500944,1.69058247228547,1.5200568825648
"Carmn",0.43702380952381,0.480769230769219,0.321959712892392,NA,2.58286559105745,1.625,20,1.39004281013802,1.76266586916156,1.40585228448582
"Cped1",0.389583333333333,0.387096774193548,0.555211151357197,NA,2.76765973415268,0.96875,16,1.33503877280758,1.60240487926174,1.34945160120581
"Dlc1",0.429986772486772,0.524999999981528,0.266100865738629,NA,0.196755823249987,3.75,30,1.62750506986212,1.74336421275312,1.63111943439292
"Ebf1",0.437053571428571,0.512820512820513,0.369592310384929,NA,0.261794933848803,2.4375,24,1.60569668197837,1.63430535179566,1.60683135458319
"Errfi1",0.403703703703704,0.437499999999993,1.28839119133085,NA,3.23826488133305,1.5,18,1.96256552960753,1.71718117491997,1.94881723367448
"Filip1",0.555555555555556,0.58974358974359,1.48114241454848,NA,3.87745333112899,1.21875,16,1.80964017529422,1.61434166445038,1.7975243079039
"Fry",0.363768115942029,0.240740740740742,1.68543831699391,NA,2.18047161922327,1.6875,23,1.83680981971509,1.77897247014054,1.83436280458653
"Gucy1a2",0.439814814814815,0.409090909410858,0.51850267378425,NA,3.64299158565946,1.375,18,1.4997812328222,1.63855105041037,1.50678280306481
"Itpr1",0.453787878787879,0.428571428593767,0.242485898289651,NA,3.76233565717201,1.3125,22,1.17734678004974,1.6288322291132,1.19408052645976
"Kcnab1",0.342028730796847,0.295597484277279,0.543193707680165,NA,0.226183176466865,4.96875,27,2.69700516326092,1.82091152134215,2.65943373256872
"Lhfpl6",0.430555555555556,0.525,0.530231263141506,NA,3.85903928976606,1.25,18,1.42057849687663,1.6201416577541,1.43044068867567
"Lpp",0.60291737248259,0.701149425287356,0.319363868718355,NA,0.196882741739742,2.71875,23,1.60170299922865,1.58568684056054,1.60103244076054
"Malat1",0.477112539020512,0.476793248945148,0.00267358228223085,NA,0.00264061600969829,66.65625,32,1.17514351148896,1.18525053753198,1.17544851500391
"Mast4",0.454336829281212,0.454954954982606,0.0901811631645003,NA,0.189635076069522,6.9375,29,1.55144290314157,1.91969760066124,1.56249642119019
"Msrb3",0.397789929368877,0.379310345057812,0.478149727988847,NA,1.36673766713422,1.8125,19,1.64382197224024,1.77343889780597,1.65007184336403
"Myh11",0.579777777777778,0.49999999999403,0.138125660352376,NA,0.179028224704195,3,25,1.34298622471262,1.58805242988127,1.35167194425275
"Myom1",0.579437229437229,0.5,0.69479172773373,NA,0.534409751124217,2.0625,21,1.8779450244114,1.70799612459187,1.86986533015519
"Pakap",0.503968253968254,0.513513513513513,2.06966132861327,NA,3.80169384857205,1.15625,21,1.51248826107244,1.60581270858714,1.5166101619873
"Pde3a",0.577612769245629,0.48299319727833,0.684200796049257,NA,0.22647704206781,4.59375,29,2.65676915805071,1.79208545070712,2.62212857950243
"Pdlim5",0.659495329232171,0.558441558441558,0.26133944961268,NA,0.273719481972076,2.40625,19,1.63806675923891,1.6409204821571,1.63820932744398
"Plce1",0.567329545454546,0.499999999999989,1.17792626847465,NA,1.36673766713422,1.8125,16,2.4197250382179,1.77343889780597,2.37589801958924
"Plcl1",0.393939393939394,0.295454545455861,998.999999999999,NA,3.64299158565946,1.375,22,2.06332777135963,1.63855105041037,2.04275221991555
"Ppp1r12a",0.40419411506368,0.4,0.0358810835068034,NA,0.177734841439218,3.125,23,1.11516650454366,1.61181454247573,1.13241432903993
"Prkg1",0.18644685146786,0.172185430474805,0.15445109718248,NA,0.227207511013695,4.71875,28,1.62122848497752,1.80116903156373,1.62712321361752
"Rasal2",0.434210526315789,0.382352941176474,998.999999999999,NA,3.41325836088088,1.0625,19,1.82439731011686,1.6001634536038,1.81247351642886
"Rbpms",0.606419043919044,0.591397849461596,0.321631818836679,NA,0.18215008255079,2.90625,24,1.68119712350672,1.57763240570485,1.67692687707425
"Rgs6",0.410714285714286,0.454545454545455,1.81379402317123,NA,3.22050156346957,1.03125,14,1.88570773562624,1.60095792257352,1.86524013461361
"Rock1",0.557142857142857,0.562499999996402,1.15419695173263,NA,3.23826488133305,1.5,21,1.69094420420354,1.71718117491997,1.69212805039619
"Ryr2",0.453703703703704,0.388888888888901,0.131677656866387,NA,3.70722683660565,1.125,18,1.11934591477202,1.60283776508033,1.14069860535808
"Slc8a1",0.413941798941799,0.446808510642894,1e-06,1e-06,0.220661471131719,4.40625,30,0.884288802501749,1.78190139609673,0.904502803711914
"Sorbs2",0.53921568627451,0.517647058754137,0.39057547649735,NA,0.205930661607933,2.65625,17,2.12212199735063,1.59410197775571,2.08865799855402
"Syne1",0.623529411764706,0.631578947382646,1.39853721726174,NA,3.85857911425003,1.1875,17,1.72090709628966,1.60960302252609,1.71452636287742
"Synpo2",0.474074074074074,0.45945945945946,0.15249970418709,NA,0.317460322550579,2.3125,18,1.41524943161614,1.66095956972175,1.42722438107747
"Tpm1",0.59469696969697,0.551020408163128,998.999999999999,NA,3.09554412851123,1.53125,22,2.30877735732385,1.73173703902889,2.28008803215217
"Utrn",0.535493827160494,0.589285714285708,1.06308490854687,NA,1.75094569713888,1.75,27,1.52228837279713,1.78138264205885,1.53085761059347
"Zbtb16",0.552631578947368,0.435897436001962,0.162934908326526,NA,3.87745333112899,1.21875,19,1.13911612634301,1.61434166445038,1.15914928839037
"Zfpm2",0.689814814814815,0.675675675345266,998.999999999999,NA,3.80169384857205,1.15625,18,2.37236950390609,1.60581270858714,2.3241381576765
