gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
4732440D04Rik,0.272788065843621,0.00184559834678495,0.359365079365079,0.0562966358555862
9330159M07Rik,0.0752688172043011,8.75928387717407e-11,0.0499188311688312,5.53734394726678e-12
Actc1,0.378637566137566,0.0495154623917743,0.334038054968288,0.0677480174723444
Adra1a,0.350523756079312,0.0775321868319976,0.290831244778613,0.0181116265862483
Aig1,0.373029163818638,0.0636310186826995,0.27093023255814,0.0141457798270574
Airn,0.28912647342786,0.0170635591252914,0.914618714618715,6.577379961290329e-29
Apoe,0.772222222222222,0.00800596595164572,0.7625,0.0380197716803479
App,0.711500974658869,5.1174591834448e-4,0.707216685123662,9.482811282044e-4
Cacna1c,0.568201092535719,0.0089044414996196,0.574611652527726,0.00318523389473216
Cacna2d1,0.766816214088941,6.754635749802321e-9,0.753245970155265,1.08679463115608e-5
Clic4,0.242348008385744,6.14067702659104e-6,0.161299929385036,1.73974509210173e-10
Cobll1,0.656719739770587,0.0062899348851923,0.731609623015873,1.2075874177568e-4
D830032E09Rik,0.967105263157895,5.4602616077106e-20,0.966666666666667,8.003262996512629e-12
Efna5,0.22580332871958,1.64220858559393e-8,0.309484493949219,6.12446793487366e-7
Fhod3,0.62061370401235,3.8220472517767e-4,0.60461081339682,1.9109559587921e-4
Filip1,0.387617059777002,0.0504449167162709,0.388060419542618,0.0380197716803479
Fmn1,0.124761904761905,1.90782755863672e-5,0.197619047619048,9.8889192108041e-4
Gm12295,0.817552602436323,4.1421648002300103e-10,0.746988795518207,0.0181116265862483
Gm13481,1,4.12307724734624e-42,1,1.7303561135461202e-15
Gm35330,0.81009768009768,9.71535885658346e-9,0.781531531531532,0.0014300916419609001
Gm40124,0.0433333333333333,5.40860621241605e-5,0.026123301985371,2.61067754957148e-10
Grb10,0.769333333333333,0.0424930107390911,0.104761904761905,1.08679463115608e-5
Grm1,0.997569321202196,1.2041997894954797e-156,0.995943857416791,1.61304385889731e-99
Itpr2,0.158794946550049,2.68924353252614e-8,0.146065175134943,1.50203707208398e-7
Kcnn2,0.720321637426901,0.00389230597671209,0.686449579831933,0.0562966358555862
Kcnq1ot1,0.275132275132275,0.0132618505038095,0.826807760141093,7.89245151030138e-5
Kcnq5,0.115625,6.0613209542675e-4,0,3.95147985881814e-8
Lama2,0.249401132697604,1.75905643843644e-16,0.320677649483753,5.53490933416953e-7
Magi1,0.289697972592709,7.68742682572942e-6,0.298743843016289,1.08679463115608e-5
Malat1,0.46051368825335,9.66069811344588e-6,0.462520463072885,5.60126783961846e-7
Malt1,0.193859649122807,9.66069811344588e-6,0.22906162464986,0.00817882959651704
Myh6,0.580304098196874,1.0358822254876e-4,0.58898655011645,1.2297775342084e-4
Myzap,0.324114948928714,0.00341093255124039,0.376020024331842,0.0367590592852019
Pcdh7,0.552536759758845,0.0857456095529061,0.59203816653666,0.0123149731759817
Pde4b,0.415074298880238,0.0800429732483448,0.385446740368238,0.0189597055996866
Pde7b,0.339736965383709,4.04256736536967e-5,0.35720093253203,0.0677480174723444
Pdlim3,0.145195195195195,1.0874327061661e-5,0.11030612244898,1.81006345378376e-7
Pfkfb2,0.286495749215047,0.00279933458262715,0.225299873737374,5.5481098804713e-6
Pln,0.634366767904714,0.00459071819296947,0.620048118890711,0.046545097261539
Prkg1,0.153042328042328,2.1487829721702197e-11,0.139344666173934,1.73974509210173e-10
Prune2,0.682318520054369,0.00159978329621256,0.73021164021164,0.00367248706774973
Ptprg,0.669778166449993,0.00718687608492838,0.637375350140056,0.0367590592852019
Rgs6,0.974120082815735,8.3874219389811e-7,1,8.24722236702154e-14
Stard13,0.719247699079632,0.00718687608492838,0.773873873873874,0.0181956712389799
Tacc2,0.62488628979857,0.0707535767915517,0.625986975986976,0.0455547650317226
Thsd7a,0.00336700336700337,4.1276923182729397e-25,0.193181818181818,0.00400002121213084
Vav3,0.328198871835235,0.0625805128238083,0.282523997741389,9.95462126828432e-6
