"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"Arhgap15",0.525210084033613,0.499999999999602,0.546861040720422,0.534105225392031,0.27969135528152,2.5,17,1.69232204008643,1.67112707467951,1.68912574097644
"Bcl2",0.669230769230769,0.68421052631579,1.29877533630115,1.261681140505,0.646772260124849,1.9,13,2.10276193619106,1.67112707467951,2.01410096947739
"Ccnd3",0.394117647058824,0.414634146463143,0.162945402548612,0.321857493643369,0.501742749985725,2.05,17,1.19622736746428,1.67112707467951,1.25774643568285
"Dock2",0.545098039215686,0.471698113207547,0.448900616771049,0.532971443751717,0.472696764676603,2.65,17,1.6708806298587,1.67112707467951,1.67091759426477
"Gm2682",0.431565656565657,0.379310343725997,1.87344637730537,2.19712564467276,1.90285890311921,2.9,11,4.06433340851676,1.67112707467951,3.35953646148015
"Malat1",0.533635959608197,0.501262626262626,0.00618760065870818,0.00721887294277755,0.00618761482115448,39.6,20,1.23738233014676,1.67112707467951,1.28684540181337
"Pde3b",0.380952380952381,0.4375,0.577056046974759,0.68380421175227,0.604241593413462,1.6,14,1.46919092376881,1.67112707467951,1.50296357480956
"Pitpnc1",0.603535353535353,0.565217391304348,0.450700658368925,0.481774123404092,0.337446429158386,2.3,16,1.57938120567642,1.67112707467951,1.59352521879589
"Skap1",0.528703703703704,0.488372093152676,1.53134520433783,1.48422712137828,0.753893617725619,2.15,18,1.84022748666374,1.67112707467951,1.81506098709908
"St6galnac3",0.605922865013774,0.51063829787234,0.0677027525089062,0.153909669654644,0.260362216951271,2.35,11,1.20828843914097,1.67112707467951,1.29524037854089
"Zeb1",0.600915750915751,0.589743589583966,0.362276034981763,0.479154288813924,0.507558958415136,1.95,13,1.53805328377915,1.67112707467951,1.5621708294727
