"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.508771929824561,0.526315789530204,998.999999999999,642.170170658455,307.321270689065,0.388211881044956,19,2.29537523209028,1.16250796304876,1.74110105347455
"2010001K21Rik",0.641379310344828,0.687499999999999,998.999999999999,628.116135822137,287.141118103581,0.478995983909909,29,1.75284514643338,1.39704443317886,1.63397398740477
"2610037D02Rik",0.236842105263158,0.217391305475679,1.77926211795234,201.115227285592,287.685908645188,0.330575734445838,19,1.16004806555257,1.00767733019843,1.09554941237459
"2610307P16Rik",0.345593869731801,0.336448598475047,0.919195831463748,17.1197194472748,24.0165022844169,1.00324261668493,58,1.39120004930176,1.44401916398099,1.40072453922831
"4732440D04Rik",0.21474358974359,0.210526315789474,0.858639529291272,218.82562877986,313.682765717158,0.442108945821386,26,1.23808390901403,1.32051059310608,1.26497133032906
"5031425E22Rik",0.598275862068966,0.59999999976262,998.999999999999,637.65840323149,300.84283540932,0.464225733174373,29,1.47242064159037,1.36917992231393,1.4396595577274
"9530026P05Rik",0.39863834422658,0.449122807017544,1.25950244347815,1.22894628117044,0.989562387232547,2.33105278348776,102,2.00006399470222,1.2625339096832,1.89870594308037
"Aak1",0.513888888888889,0.516129032258065,998.999999999999,640.652524428239,305.142086358497,0.38347780648145,24,1.7064222100711,1.14530380261758,1.48335281424442
"Abca1",0.325396825396825,0.310344827586243,998.999999999999,628.890590526819,288.253155628254,0.326849293293406,21,1.51417139278595,1.00338875655731,1.29373803431587
"Abca8a",0.694444444444444,0.696969696937492,3.87877655679368,217.560442187463,310.007541670126,0.268192254580291,15,1.91048374681455,0.922258465242847,1.36236693646038
"Abcb1b",1,0.999999999995983,1e-06,1e-06,289.785706422317,0.321681320713423,12,3.13341352863782e-11,0.998669376932534,0.000144443931668279
"Abi1",0.87036231884058,0.921375921375899,0.121311025632782,0.405844949647414,0.508098783719703,3.1269610903587,115,1.25428681433589,0.995059183250144,1.22513784654517
"Abi3bp",0.248148148148148,0.421052631580856,1e-06,1e-06,296.646443911784,0.365755501548685,10,0.838124108639297,1.08649278801266,0.970551975857876
"Ablim1",0.317307692307692,0.383561644037997,0.427151282572545,50.7576535125114,72.6199222030487,0.772942503142206,52,1.12232440413336,1.26092020247053,1.14876777879185
"Ablim3",0.22463768115942,0.233333333333334,0.215658230521882,202.868206601759,291.165224927333,0.352566069707471,23,1.05498609024521,1.04994699462094,1.0531636330769
"Acaca",0.520833333333333,0.45,998.999999999999,650.10394997119,318.713364061196,0.248717160071082,16,1.67886371011537,0.849973939158428,1.23737315461424
"Ackr3",0.25,0.499999999999996,998.999999999999,641.664963456161,306.595844962693,0.276086464104274,12,3.33708074566192,0.932176474038135,1.71931342823091
"Acss3",0.384085213032581,0.318181818181829,8.63024092585449,217.392497866322,306.842412776758,0.387150477238707,19,2.21623453115016,1.15860392622075,1.70287560625263
"Acyp2",0.0833333333333333,0.0769230774169822,1e-06,1e-06,348.952477897974,0.187095182926189,12,0.574162846887926,0.457078605813249,0.509955296083825
"Adam10",0.351851851851852,0.409090909091115,998.999999999999,616.637333369464,270.658735094616,0.494882145259084,27,2.26863163521436,1.412138145451,1.94469176033633
"Adamts9",0.385416666666667,0.368421052631579,998.999999999999,628.47985199767,287.663377227424,0.330821461568776,16,3.07908540224593,1.00799317881418,1.86648290298587
"Adamtsl1",0.534307815953386,0.520930232550203,2.75063688006401,2.78584797652624,2.30749234779316,1.76597593060661,79,2.26253133251136,1.43274136803762,2.12107503531528
"Adcy9",0.616666666666667,0.659090909090909,998.999999999999,648.624421436398,316.588912831752,0.427877072065278,30,1.88495326724927,1.28596881374557,1.67916484202358
"Adgrd1",0.474358974358974,0.542372881355932,998.999999999999,536.225390674221,155.195432762984,0.612050957107011,39,1.87281338267152,1.33684409354494,1.72143674288164
"Adgrg6",0.636904761904762,0.638888888888889,998.999999999999,648.694249374262,316.689178588685,0.425678116244732,28,1.53565450038817,1.28029122776062,1.4496046473514
"Adgrl3",0.21875,0.161290322581277,0.628637460271229,206.772524610348,296.517284080333,0.301444666368432,16,1.35108340515411,0.972147625276495,1.16573853293365
"Adgrl4",0.357142857142857,0.5,998.999999999999,749.178745470937,460.974608881345,0.10696000756481,7,1.84839248149319,0.0657626170770525,0.21138023425034
"Adk",0.360328638497653,0.40495867768595,4.80078690510835,11.7851071125701,13.9678746815725,1.13301143855437,71,1.58354127624061,1.48695015257659,1.56819218159026
"Aebp1",0.391432823129252,0.427272727272727,0.731453551568959,15.1349200320738,21.2820676040635,1.03069974856765,56,1.4071746467782,1.45345170923309,1.41577941675188
"Aebp2",0.3984375,0.340425531914894,998.999999999999,618.915305306218,273.929669157647,0.491812390442566,32,1.63108901465654,1.41031057429915,1.5639778664823
"Aff1",0.371428571428571,0.307692310186667,998.999999999999,557.940317277342,186.375840193107,0.575335470415409,35,1.6358395114718,1.37523678690717,1.56073735017022
"Agap1",0.348353909465021,0.395209580841118,3.77450755164499,4.54300541166321,4.20051594394,1.50549052972231,81,1.84097421316345,1.5784933111545,1.80222380381842
"Agfg1",0.4921875,0.583333333333333,998.999999999999,589.220811533117,231.291421688579,0.530995892751207,32,1.92200061235031,1.40721884386529,1.7564682829793
"Ago3",0.5,0.478260869565214,998.999999999999,632.165667997317,292.955830970508,0.311572547241701,20,1.71019293572037,0.986986418548847,1.37720441996331
"Ahnak",0.327688172043011,0.37719298245617,998.999999999999,440.022614433077,17.0581130321114,1.08308471458898,62,1.91322059324992,1.47087402304899,1.82798315022848
"Aig1",0.5,0.461538460688678,1e-06,1e-06,376.317897378619,0.157019995426965,9,0.966017554698911,0.251604773970662,0.436251410484948
"Airn",0.879353233830846,0.915384614580455,1e-06,1e-06,10.8902009526997,1.1971259761123,67,0.857632337756885,1.50709706056369,0.939913008307682
"Akap13",0.414285714285714,0.444444444445116,998.999999999999,632.29689388228,293.144257882249,0.472829570025795,35,1.46390581086114,1.38694306714916,1.44264964789966
"Akt3",0.358156028368794,0.333333333333333,2.53490272042264,52.8057723154733,74.2637329327272,0.768377055292783,47,1.41026417758301,1.25789711595024,1.3757572641604
"Aldh1a1",0.62797619047619,0.642857142857142,998.999999999999,638.383802856446,301.884434870795,0.462924629722868,28,1.57248490489631,1.36641099021601,1.50398461050379
"Aldh1a2",0.591397849462366,0.584905660376132,998.999999999999,591.877120975871,235.105609606379,0.527473184837781,31,2.01120076878021,1.40919333985043,1.81055689589886
"Ambra1",0.460648148148148,0.462962963187428,998.999999999999,527.946707350167,143.308092605369,0.628290199947353,36,1.85406490966445,1.31764735871093,1.6934532343877
"Anapc1",0.448717948717949,0.479166666693365,998.999999999999,579.010960891194,216.631123330947,0.544784102056065,39,1.69957320790411,1.398042765743,1.61858317384713
"Ank2",0.576923076923077,0.69999999999901,998.999999999999,657.022323782829,328.647439277909,0.225854524007781,13,1.93713332355812,0.736319807171043,1.19429880485033
"Ankhd1",0.375,0.382352942018746,21.4985342422105,217.501514272846,299.079999422213,0.46633423401726,28,1.20521484329681,1.37365497065183,1.25625675535245
"Ankib1",0.566666666666667,0.521739130434778,998.999999999999,635.800165249023,298.174596255007,0.296987023063187,15,2.23347557426523,0.965017975625662,1.51277460991736
"Ankrd11",0.420833333333333,0.411764705882353,998.999999999999,559.688647370714,188.886262891282,0.572652192300027,40,1.420970487491,1.37750096279418,1.41018281603332
"Ankrd12",0.651515151515151,0.705882352357014,998.999999999999,590.197781952994,232.694251009428,0.529697848779976,33,1.71706526649398,1.40796942297346,1.62340824754896
"Ankrd17",0.447530864197531,0.425287356327002,998.999999999999,460.34880983746,46.2444448948152,0.864406664429203,54,1.65331647897367,1.34574380921542,1.58858686330055
"Ankrd44",0.425,0.428571428571428,998.999999999999,628.711852961355,287.996506816306,0.340236506559518,20,1.46481638489081,1.02294438990909,1.27161534727843
"Ano1",0.536490683229814,0.522727272727273,5.14304418969357,34.2551656124407,46.0219541985649,0.865389924995956,46,1.77277277154026,1.34674403777685,1.66859772254274
"Ano6",0.536821705426357,0.603174603174595,998.999999999999,491.642975465034,91.179657077998,0.725908198451025,43,1.72597686867214,1.24151195093104,1.59889162258277
"Antxr2",0.75,0.827586206895585,998.999999999999,636.808499468297,299.622460774992,0.293202983063338,16,1.87301769157244,0.958835161992478,1.387344088072
"Anxa1",0.56140350877193,0.694444444444426,998.999999999999,643.297645804959,308.940209360968,0.391921841358522,19,2.35726501055402,1.17625524549447,1.77729188317202
"Anxa2",0.5375,0.46875,998.999999999999,647.018972348201,314.283652602545,0.407063266930018,20,2.20665330723746,1.22737494077023,1.75135967159018
"Anxa3",0.713178294573643,0.719298245614025,998.999999999999,537.213125932734,156.613719288028,0.610213006684104,43,1.44519237180961,1.33897869431987,1.41980814076868
"Aopep",0.465116279069767,0.461538461538461,998.999999999999,550.56581521402,175.786811589363,0.587040865628622,43,1.58730560943887,1.36428115439577,1.53248280238654
"Ap2a2",0.476190476190476,0.400000000002938,998.999999999999,629.954546415146,289.78088716021,0.348261344835932,21,1.58021817959428,1.03965422543824,1.3464633393484
"Ap2b1",0.318181818181818,0.379310344827594,998.999999999999,640.027169605784,304.244140972408,0.381584023234427,22,1.61372070588886,1.13857874983234,1.41765264477458
"Ap3b1",0.520833333333333,0.523809523793315,998.999999999999,612.460905839612,264.661813513289,0.500444582963265,32,1.68274771669611,1.41430749309854,1.60035036273609
"Ap3s1",0.535714285714286,0.529411764705882,998.999999999999,644.186649360882,310.21672728742,0.26771535619501,14,1.72358954545593,0.92150586115305,1.27497545392345
"Ap4e1",0.964285714285714,0.974358973829568,1e-06,1e-06,305.775714563904,0.457889058347365,28,0.342303505476811,1.35562129802065,0.529583631612725
"Apba1",0.423076923076923,0.368421052631609,998.999999999999,655.223707102599,326.064810198605,0.232061536899225,13,1.94116931315957,0.762563370903967,1.21666125726856
"Apbb2",0.531531531531532,0.470588235294118,998.999999999999,619.201445124069,274.340536588407,0.491424594329913,37,1.53418900437451,1.41004563867822,1.50089732921679
"Apc",0.263157894736842,0.260869566635887,13.6564095636626,206.320250467404,287.850774272993,0.329159152147749,19,1.20354782826362,1.00593515297348,1.11897187963523
"Apoe",0.317543859649123,0.382352941176471,10.0192639073706,204.62612201727,287.65642305616,0.337242748698324,19,1.68102358092809,1.01761092386539,1.3709276548508
"App",0.243943596856218,0.254716981132076,0.476380850134758,1.63906259650349,2.06036833335799,1.82462863281934,103,1.34167979939414,1.39733622343533,1.3478051964852
"Aqp1",0.336538461538462,0.44615384615387,0.838916907605533,96.3977117842076,137.900970618797,0.636241412160734,26,1.68569371580384,1.3081976149443,1.54909087670553
"Arb2a",0.395962732919255,0.396551724137931,4.65679136990787,13.6604202664329,16.7492446677552,1.08754234002401,69,1.5485029423836,1.47232759411366,1.53616859216702
"Arf4",0.435897435897436,0.424242424242424,998.999999999999,646.96066232701,314.199925392631,0.406753094439493,26,1.4481700565036,1.22640841407697,1.37011834965452
"Arfgef1",0.331531531531532,0.349206349206363,31.9019078565585,85.8520927749853,103.642856585687,0.698459456408979,37,1.6768951915406,1.24657005697577,1.55246107528559
